packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
154,00:11:32:a5:2f:c9,CBJR,true,false
155,22:11:32:a5:2f:c9,CBJRGuest,true,false
156,16:11:32:a5:2f:c9,,true,false
157,00:11:32:a5:2f:c9,CBJR,true,false
158,22:11:32:a5:2f:c9,CBJRGuest,true,false
159,16:11:32:a5:2f:c9,,true,false
163,00:11:32:a5:2f:c9,CBJR,true,false
164,22:11:32:a5:2f:c9,CBJRGuest,true,false
165,16:11:32:a5:2f:c9,,true,false
166,00:11:32:a5:2f:c9,CBJR,true,false
167,22:11:32:a5:2f:c9,CBJRGuest,true,false
168,16:11:32:a5:2f:c9,,true,false
169,00:11:32:a5:2f:c9,CBJR,true,false
170,22:11:32:a5:2f:c9,CBJRGuest,true,false
171,16:11:32:a5:2f:c9,,true,false
172,00:11:32:a5:2f:c9,CBJR,true,false
173,22:11:32:a5:2f:c9,CBJRGuest,true,false
174,16:11:32:a5:2f:c9,,true,false
175,00:11:32:a5:2f:c9,CBJR,true,false
176,22:11:32:a5:2f:c9,CBJRGuest,true,false
177,16:11:32:a5:2f:c9,,true,false
178,00:11:32:a5:2f:c9,CBJR,true,false
179,22:11:32:a5:2f:c9,CBJRGuest,true,false
180,16:11:32:a5:2f:c9,,true,false
182,00:11:32:a5:2f:c9,CBJR,true,false
183,22:11:32:a5:2f:c9,CBJRGuest,true,false
184,16:11:32:a5:2f:c9,,true,false
185,00:11:32:a5:2f:c9,CBJR,true,false
186,22:11:32:a5:2f:c9,CBJRGuest,true,false
187,16:11:32:a5:2f:c9,,true,false
193,00:11:32:a5:2f:c9,CBJR,true,false
194,22:11:32:a5:2f:c9,CBJRGuest,true,false
195,16:11:32:a5:2f:c9,,true,false
203,00:11:32:a5:2f:c9,CBJR,true,false
204,22:11:32:a5:2f:c9,CBJRGuest,true,false
205,16:11:32:a5:2f:c9,,true,false
226,00:11:32:a5:2f:c9,CBJR,true,false
227,22:11:32:a5:2f:c9,CBJRGuest,true,false
228,16:11:32:a5:2f:c9,,true,false
229,00:11:32:a5:2f:c9,CBJR,true,false
230,22:11:32:a5:2f:c9,CBJRGuest,true,false
231,16:11:32:a5:2f:c9,,true,false
232,00:11:32:a5:2f:c9,CBJR,true,false
233,22:11:32:a5:2f:c9,CBJRGuest,true,false
234,16:11:32:a5:2f:c9,,true,false
239,00:11:32:a5:2f:c9,CBJR,true,false
240,22:11:32:a5:2f:c9,CBJRGuest,true,false
241,16:11:32:a5:2f:c9,,true,false
249,00:11:32:a5:2f:c9,CBJR,true,false
250,22:11:32:a5:2f:c9,CBJRGuest,true,false
251,16:11:32:a5:2f:c9,,true,false
254,00:11:32:a5:2f:c9,CBJR,true,false
255,22:11:32:a5:2f:c9,CBJRGuest,true,false
256,16:11:32:a5:2f:c9,,true,false
257,00:11:32:a5:2f:c9,CBJR,true,false
258,22:11:32:a5:2f:c9,CBJRGuest,true,false
259,16:11:32:a5:2f:c9,,true,false
262,00:11:32:a5:2f:c9,CBJR,true,false
263,22:11:32:a5:2f:c9,CBJRGuest,true,false
264,16:11:32:a5:2f:c9,,true,false
272,00:11:32:a5:2f:c9,CBJR,true,false
273,22:11:32:a5:2f:c9,CBJRGuest,true,false
274,16:11:32:a5:2f:c9,,true,false
281,00:11:32:a5:2f:c9,CBJR,true,false
282,22:11:32:a5:2f:c9,CBJRGuest,true,false
283,16:11:32:a5:2f:c9,,true,false
285,00:11:32:a5:2f:c9,CBJR,true,false
286,22:11:32:a5:2f:c9,CBJRGuest,true,false
287,16:11:32:a5:2f:c9,,true,false
290,00:11:32:a5:2f:c9,CBJR,true,false
291,22:11:32:a5:2f:c9,CBJRGuest,true,false
292,16:11:32:a5:2f:c9,,true,false
293,00:11:32:a5:2f:c9,CBJR,true,false
294,22:11:32:a5:2f:c9,CBJRGuest,true,false
295,16:11:32:a5:2f:c9,,true,false
296,00:11:32:a5:2f:c9,CBJR,true,false
297,22:11:32:a5:2f:c9,CBJRGuest,true,false
298,16:11:32:a5:2f:c9,,true,false
299,00:11:32:a5:2f:c9,CBJR,true,false
300,22:11:32:a5:2f:c9,CBJRGuest,true,false
301,16:11:32:a5:2f:c9,,true,false
302,00:11:32:a5:2f:c9,CBJR,true,false
303,22:11:32:a5:2f:c9,CBJRGuest,true,false
304,16:11:32:a5:2f:c9,,true,false
305,00:11:32:a5:2f:c9,CBJR,true,false
306,22:11:32:a5:2f:c9,CBJRGuest,true,false
307,16:11:32:a5:2f:c9,,true,false
308,00:11:32:a5:2f:c9,CBJR,true,false
309,22:11:32:a5:2f:c9,CBJRGuest,true,false
310,16:11:32:a5:2f:c9,,true,false
311,00:11:32:a5:2f:c9,CBJR,true,false
312,22:11:32:a5:2f:c9,CBJRGuest,true,false
313,16:11:32:a5:2f:c9,,true,false
314,00:11:32:a5:2f:c9,CBJR,true,false
315,22:11:32:a5:2f:c9,CBJRGuest,true,false
316,16:11:32:a5:2f:c9,,true,false
319,00:11:32:a5:2f:c9,CBJR,true,false
320,22:11:32:a5:2f:c9,CBJRGuest,true,false
321,16:11:32:a5:2f:c9,,true,false
323,00:11:32:a5:2f:c9,CBJR,true,false
324,22:11:32:a5:2f:c9,CBJRGuest,true,false
325,16:11:32:a5:2f:c9,,true,false
327,00:11:32:a5:2f:c9,CBJR,true,false
328,22:11:32:a5:2f:c9,CBJRGuest,true,false
329,16:11:32:a5:2f:c9,,true,false
330,00:11:32:a5:2f:c9,CBJR,true,false
331,22:11:32:a5:2f:c9,CBJRGuest,true,false
332,16:11:32:a5:2f:c9,,true,false
333,00:11:32:a5:2f:c9,CBJR,true,false
334,22:11:32:a5:2f:c9,CBJRGuest,true,false
335,16:11:32:a5:2f:c9,,true,false
337,00:11:32:a5:2f:c9,CBJR,true,false
338,22:11:32:a5:2f:c9,CBJRGuest,true,false
